,기업명,채용공고,경력,위치
75,보로노이,신약개발 인공지능 연구원 (3년이상),경력 3-10년,인천 연수구
76,비에프에이아이,글로벌 AI 마켓플레이스 FE/BE 개발자 - 코파운더급,경력 3-15년,서울 
77,오렌지아이,Java 리액트 프론트엔드 개발자 (판교),경력 4-6년,서울 
78,북아이피스,웹 프론트엔드 엔지니어 (Studio),경력 5-10년,서울 서초구
79,올거나이즈코리아(Allganize Korea),Sr. React Front-end Engineer,경력 5-10년,서울 강남구
80,지엔터프라이즈,Sr. Front-end Engineer,경력 4-10년,서울 강남구
81,퀀팃,금융 데이터 솔루션(QUANDA) 개발자,신입-경력 7년,경기 성남시
82,넥서스에이아이,"Infra, 서비스 Backend 개발 (LLM 기반 법률상담 챗봇 서비스)",경력 1-20년,서울 서초구
83,브로드씨엔에스,AI Cloud service 웹 개발자,경력 5-10년,서울 구로구
84,알스퀘어,[1100억↑투자] Data Engineer (3년 이상),경력 3-20년,서울 강남구
85,알티올,R&D 디지털 트윈 프로젝트PM 및 Developer,경력 5-15년,인천 연수구
86,에너넷,FE 개발자,경력 5-10년,서울 
87,엔에스원소프트,프론트엔드/웹 개발자 (4~10년 이상),경력 4-10년,서울 강남구
88,에이치랩코리아,[Web3] 프론트엔드 개발자 (3년 이상),경력 3-13년,경기 성남시
89,오케스트로,Machine Learning Research Scientist,경력 2-5년,서울 영등포구
90,에이지엘,글로벌 실시간 예약 GDS 테크 기술 개발자 (.NET),경력 5-15년,서울 광진구
91,에스알파테라퓨틱스,Unity 개발자,경력 3-5년,서울 서초구
92,코너스페이스,Ai엔진 개발,경력 3-8년,경기 용인시
93,씨에스엠17,"NestJS, Python 백엔드 개발자",경력 3-10년,서울 금천구
94,오케스트로,Full Stack Developer (운영 / 유지보수),경력 3-10년,서울 영등포구
95,디앤에스에버(DNS Ever),Frontend (React / Angular) 개발자(5년 이상),경력 5-15년,서울 강남구
96,알서포트(Rsupport),프론트엔드 개발자 (5년 이상),경력 5-15년,서울 송파구
97,리노셈,기업부설연구소 연구원,경력 3-15년,경기 
98,케이아이티원,전자정부 Web/Java 개발리더 (팀장급),경력 10-15년,서울 마포구
99,단디코리아,ASP.NET MVC5,경력 5-10년,서울 금천구
100,그립랩스,Middle-level Back-end Engineer,경력 5-8년,서울 영등포구
101,플래티어,[그루비 SaaS 솔루션] 데이터사이언스팀 리더,경력 5-15년,서울 송파구
102,쏘카(SOCAR),Data Engineer(Senior),경력 5-10년,서울 성동구
103,베슬에이아이(VESSL AI),Backend Engineer (Senior),경력 6-15년,서울 강남구
104,레드브릭,[100억↑투자] Frontend Software Engineer (5년 이상),경력 5-10년,서울 강남구
105,뷰노,Hativ 개발자,경력 3-10년,서울 서초구
106,드래프티파이,"프론트엔드 / 모바일 (Vue, Flutter) 엔지니어",경력 1-12년,서울 
107,리젠부스터,프론트엔드 개발자,경력 3-5년,서울 강남구
108,베어로보틱스코리아,Software Test Automation Engineer,경력 1-10년,서울 성동구
109,다임리서치,[100억↑투자] 웹 프론트엔드 엔지니어 (AI 로봇 관제 솔루션),경력 5-10년,서울 강남구
110,비큐에이아이,서비스개발본부 백엔드개발팀 (3년 이상),경력 3-7년,서울 중구
111,게임듀오,서버 프로그래머,경력 2-7년,경기 성남시
